Date,Forecast,Lower_CI,Upper_CI
2025-10-13 00:00:00-04:00,763.7146833228729,740.4723789215748,786.9569877241711
2025-10-14 00:00:00-04:00,763.6879901350077,730.1316888198304,797.244291450185
2025-10-15 00:00:00-04:00,763.6868859601458,722.2891475979401,805.0846243223515
2025-10-16 00:00:00-04:00,763.6868402854916,715.7118479085152,811.661832662468
2025-10-17 00:00:00-04:00,763.6868383961405,709.9334166872786,817.4402601050024
2025-10-20 00:00:00-04:00,763.6868383179867,704.718533833736,822.6551428022374
2025-10-21 00:00:00-04:00,763.6868383147538,699.9287680198485,827.4449086096591
2025-10-22 00:00:00-04:00,763.6868383146201,695.4745071570761,831.8991694721641
2025-10-23 00:00:00-04:00,763.6868383146145,691.2937950288646,836.0798816003645
2025-10-24 00:00:00-04:00,763.6868383146143,687.3416792644239,840.0319973648047
2025-10-27 00:00:00-04:00,763.6868383146143,683.5843171019501,843.7893595272785
2025-10-28 00:00:00-04:00,763.6868383146143,679.9954737729141,847.3782028563145
2025-10-29 00:00:00-04:00,763.6868383146143,676.5543237573138,850.8193528719148
2025-10-30 00:00:00-04:00,763.6868383146143,673.2440072703318,854.1296693588968
2025-10-31 00:00:00-04:00,763.6868383146143,670.05064722628,857.3230294029486
2025-11-03 00:00:00-05:00,763.6868383146143,666.9626589396644,860.4110176895642
2025-11-04 00:00:00-05:00,763.6868383146143,663.9702525829322,863.4034240462964
2025-11-05 00:00:00-05:00,763.6868383146143,661.0650664325699,866.3086101966587
2025-11-06 00:00:00-05:00,763.6868383146143,658.2398911874604,869.1337854417682
2025-11-07 00:00:00-05:00,763.6868383146143,655.4884591554826,871.885217473746
2025-11-10 00:00:00-05:00,763.6868383146143,652.8052805744308,874.5683960547979
2025-11-11 00:00:00-05:00,763.6868383146143,650.1855147931853,877.1881618360433
2025-11-12 00:00:00-05:00,763.6868383146143,647.6248676466022,879.7488089826264
2025-11-13 00:00:00-05:00,763.6868383146143,645.1195087943415,882.2541678348871
2025-11-14 00:00:00-05:00,763.6868383146143,642.666004472687,884.7076721565417
2025-11-17 00:00:00-05:00,763.6868383146143,640.2612622858924,887.1124143433362
2025-11-18 00:00:00-05:00,763.6868383146143,637.9024855029539,889.4711911262747
2025-11-19 00:00:00-05:00,763.6868383146143,635.5871349329332,891.7865416962954
2025-11-20 00:00:00-05:00,763.6868383146143,633.3128968972393,894.0607797319893
2025-11-21 00:00:00-05:00,763.6868383146143,631.0776561478897,896.2960204813389
